"Reference","Value","Datasheet","Qty","DNP","LCSC"
"R15,R16,R17,R18,R19,R20,R21","220R","~","7","","C17557"
"U4","74HC595","https://www.ti.com/lit/ds/symlink/sn74hc595.pdf","1","","C18164493"
